name,birthday,age,end_energy,peak_energy,children,world_ticks,world_width,world_height,bot_limit,plant_limit,energy_pool,seconds_run,YYYY-MM-DD,day_time
Bot_15,658,13,0,404,2,819,250,250,-1,-1,100000,6.1,2014-12-24,01:19
Bot_8918553,1143536,260,0,5870,20,1494593,250,250,-1,-1,100000,74241.0,2014-12-26,23:25
Bot_67,500,47,0,496,0,904,250,250,-1,-1,100000,8.2,2014-12-26,23:43
Bot_236886,1634,1372,1965,2851,0,3006,250,250,-1,-1,100000,272.0,2014-12-26,23:48
Bot_349,500,362,0,599,0,964,250,250,-1,-1,100000,20.6,2014-12-26,23:58
Bot_67446,1447,16,0,667,4,1491,250,250,-1,-1,100000,57.4,2014-12-26,23:59
Bot_72715,1301,6,489,697,1,1307,250,250,-1,-1,100000,51.6,2014-12-27,00:06
Bot_29,932,49,0,434,2,1202,250,250,-1,-1,100000,12.3,2014-12-27,00:06
Bot_144,930,107,0,477,2,1326,250,250,-1,-1,100000,22.3,2014-12-27,00:09
Bot_3312,2336,167,0,773,8,3296,250,250,-1,-1,100000,56.3,2014-12-27,00:10
Bot_2,500,89,0,520,3,771,250,250,-1,-1,100000,5.4,2014-12-27,00:12
Bot_2,500,79,0,506,3,869,250,250,-1,-1,100000,7.0,2014-12-27,00:13
Bot_472,1429,30,0,433,2,1572,250,250,-1,-1,100000,19.4,2014-12-27,00:13
Bot_2,500,11,0,415,2,898,250,250,-1,-1,100000,7.5,2014-12-27,00:14
Bot_6975,3108,2000,2168,2654,0,5332,250,250,-1,-1,100000,202.4,2014-12-27,00:17
Bot_3999,2552,41,0,701,3,2758,250,250,-1,-1,100000,86.8,2014-12-27,00:19
Bot_12,589,59,147,363,1,648,250,250,-1,-1,100000,4.0,2014-12-27,00:19
Bot_38501,12561,141,0,3338,3,14593,250,250,-1,-1,100000,282.2,2014-12-27,00:25
Bot_666089,3108,2000,3026,3719,0,5670,250,250,-1,-1,100000,673.1,2014-12-27,00:36
Bot_415971,2777,18,0,1124,6,3856,250,250,-1,-1,100000,309.1,2014-12-27,00:44
Bot_6050,639,37,0,709,9,928,250,250,-1,-1,100000,25.5,2014-12-27,00:50
Bot_101,500,14,0,733,4,3318,250,250,-1,-1,100000,116.8,2014-12-27,01:00
Bot_122,500,307,181,487,0,807,250,250,-1,-1,100000,11.6,2014-12-27,01:01
Bot_200229,2621,11,0,991,5,4341,250,250,-1,-1,100000,344.1,2014-12-27,01:07
Bot_138721,1785,20,0,1021,5,2730,250,250,-1,-1,100000,161.4,2014-12-27,01:14
Bot_159,500,33,415,609,0,533,250,250,-1,-1,100000,2.6,2014-12-27,01:20
Bot_58179,15671,2000,4344,4452,0,20363,250,250,-1,-1,150000,1009.9,2015-05-24,01:21
Bot_24635,7266,2000,5494,5524,0,31076,250,250,-1,-1,150000,1543.0,2015-05-24,03:46
Bot_666,591,36,100,772,3,627,250,250,-1,-1,150000,7.5,2015-05-24,03:51
Bot_56,500,29,28,469,2,529,250,250,-1,-1,150000,2.4,2015-05-24,03:52
Bot_118,500,297,0,490,0,999,250,250,-1,-1,150000,27.0,2015-05-24,03:56
Bot_110,500,208,0,416,0,751,250,250,-1,-1,150000,13.8,2015-05-24,03:57
Bot_109,500,340,0,443,0,898,250,250,-1,-1,150000,21.4,2015-05-24,04:00
Bot_20,500,138,0,446,0,834,250,250,-1,-1,150000,17.9,2015-05-24,04:02
Bot_149,500,5,0,609,3,948,250,250,-1,-1,150000,23.6,2015-05-24,04:04
Bot_202,506,5,0,423,1,525,250,250,-1,-1,150000,2.5,2015-05-24,04:05
Bot_54,500,278,0,402,0,852,250,250,-1,-1,150000,18.8,2015-05-24,04:06
Bot_99,500,11,0,495,3,770,250,250,-1,-1,150000,14.5,2015-05-24,04:07
Bot_81,500,49,351,492,0,549,250,250,-1,-1,150000,3.5,2015-05-24,04:07
